Source,Target,Weight,shared_actors
Kill Bill: Vol. 2,Kill Bill: The Whole Bloody Affair,62,Akaji Maro; Al Manuel Douglas; Ambrosia Kelley; Bo Svenson; Caitlin Keats; Chiaki Kuriyama; Christopher Allen Nelson; Citlati Guadalupe Bojorquez; Claire Smithies; Clark Middleton; Daryl Hannah; David Carradine; Gordon Liu Chia-Hui; Goro Daimon; Graciela Salazar Mendoza; Helen Kim; Issey Takahashi; James Parks; Jeannie Epper; Jonathan Loughran; Jorge Silva; Julie Dreyfus; Jun Kunimura; Juri Manase; Kazuki Kitamura; Kenji Ohba; Larry Bishop; Laura Cayouette; Lucia Cruz Marroquin; Lucy Liu; Maria Del Rosario Gutierrez; Maria de Lourdes Lombera; Michael Bowen; Michael Madsen; Michael Parks; Patricia Silva; Perla Haney-Jardine; Reda Beebe; Ronnie Yoshiko Fujiyama; Sachiko Fujii; Sakichi Sato; Samuel L. Jackson; Shana Stein; Shun Sugata; Sid Haig; So Yamanaka; Sonia Angelica Padilla Curiel; Sonny Chiba; Stephanie L. Moore; Stevo Polyi; Tetsuro Shimaguchi; Thea Rose; Uma Thurman; Venessia Valentino; Veronica Janet Martinez; Victoria Lucai; Vivica A. Fox; William Paul Clark; Yoji Tanaka; Yoshiko Yamaguchi; Yoshiyuki Morishita; Yuki Kazamatsuri
Kill Bill: Vol. 1,Kill Bill: The Whole Bloody Affair,38,Ai Maeda; Akaji Maro; Ambrosia Kelley; Chiaki Kuriyama; Daryl Hannah; David Carradine; Gordon Liu Chia-Hui; Goro Daimon; Hikaru Midorikawa; Hu Xiaohui; Issey Takahashi; James Parks; Jonathan Loughran; Julie Dreyfus; Jun Kunimura; Juri Manase; Kazuki Kitamura; Kenji Ohba; Lucy Liu; Michael Bowen; Michael Madsen; Michael Parks; Naomi Kusumi; Ronnie Yoshiko Fujiyama; Sachiko Fujii; Sakichi Sato; Shu Lan Tuan; Shun Sugata; So Yamanaka; Sonny Chiba; Tetsuro Shimaguchi; Uma Thurman; Vivica A. Fox; Yoji Tanaka; Yoshiko Yamaguchi; Yoshiyuki Morishita; Yuki Kazamatsuri; Zhang Jinzhan
Kill Bill: Vol. 2,Kill Bill: Vol. 1,32,Akaji Maro; Ambrosia Kelley; Chiaki Kuriyama; Daryl Hannah; David Carradine; Gordon Liu Chia-Hui; Goro Daimon; Issey Takahashi; James Parks; Jonathan Loughran; Julie Dreyfus; Jun Kunimura; Juri Manase; Kazuki Kitamura; Kenji Ohba; Lucy Liu; Michael Bowen; Michael Madsen; Michael Parks; Ronnie Yoshiko Fujiyama; Sachiko Fujii; Sakichi Sato; Shun Sugata; So Yamanaka; Sonny Chiba; Tetsuro Shimaguchi; Uma Thurman; Vivica A. Fox; Yoji Tanaka; Yoshiko Yamaguchi; Yoshiyuki Morishita; Yuki Kazamatsuri
Grindhouse,Death Proof,31,Electra Avellan; Eli Roth; Elise Avellan; Eurlyne Epper; Gary Teague; Helen Kim; James Parks; Jamie L. Dunno; Jonathan Loughran; Jordan Ladd; Kelley Robins Hicks; Kurt Russell; Marcy Harriell; Marley Shelton; Marta Mendoza; Mary Elizabeth Winstead; Melissa Arcaro; Michael Bacall; Michael Parks; Monica Staggs; Nicky Katt; Omar Doom; Quentin Tarantino; Rosario Dawson; Rose McGowan; Sydney Tamiia Poitier; Tim Murphy; Tommy Nix; Tracie Thoms; Vanessa Ferlito; Zoë Bell
Django Unchained,The Hateful Eight,11,Belinda Owino; Bruce Dern; Craig Stark; Dana Gourrier; James Parks; Keith Jefferson; Lee Horsley; Quentin Tarantino; Samuel L. Jackson; Walton Goggins; Zoë Bell
Reservoir Dogs,Pulp Fiction,9,Burr Steers; Harvey Keitel; Lawrence Bender; Linda Kaye; Quentin Tarantino; Rich Turner; Robert Ruth; Steve Buscemi; Tim Roth
Django Unchained,Once Upon a Time... in Hollywood,9,Bruce Dern; Craig Stark; David Steen; James Remar; Johnny Otto; Keith Jefferson; Leonardo DiCaprio; Quentin Tarantino; Zoë Bell
Grindhouse,Django Unchained,8,Jake Garber; James Parks; Michael Bacall; Michael Parks; Quentin Tarantino; Shannon Hazlett; Tom Savini; Zoë Bell
Kill Bill: Vol. 2,Django Unchained,7,James Parks; Laura Cayouette; Michael Bowen; Michael Parks; Quentin Tarantino; Samuel L. Jackson; Shana Stein
The Hateful Eight,Once Upon a Time... in Hollywood,7,Bruce Dern; Craig Stark; Keith Jefferson; Kurt Russell; Michael Madsen; Quentin Tarantino; Zoë Bell
