Movie,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,PageRank,Weighted_Degree
The Lost Chapter: Yuki's Revenge,1.0,0.4496336996336996,0.8666666666666667,0.0337957694718879,0.026999651064599534,15
Four Rooms,0.8461538461538463,0.07631257631257632,0.65,0.030104353759263545,0.034733028687698266,21
Kill Bill: Vol. 1,0.9230769230769231,0.05097680097680097,0.6190476190476191,0.45181833866984566,0.09132744314001402,87
Jackie Brown,1.0,0.037393162393162385,0.65,0.07773260916488259,0.04052833647267434,28
Death Proof,1.0,0.0325091575091575,0.5909090909090909,0.13898131548469528,0.0806572402954147,67
Once Upon a Time... in Hollywood,1.0,0.028998778998778996,0.5909090909090909,0.07769846137813627,0.05594696742199205,42
Reservoir Dogs,1.0,0.011752136752136752,0.5909090909090909,0.0644428700951001,0.047810397826732624,33
Pulp Fiction,1.0,0.00641025641025641,0.48148148148148145,0.08054904912393052,0.06047197440479395,43
Inglourious Basterds,1.0,0.003205128205128205,0.5416666666666666,0.08222705436365149,0.051355087821269685,38
Kill Bill: Vol. 2,1.0,0.0,0.34210526315789475,0.5844375288010765,0.1463688531719094,140
Kill Bill: The Whole Bloody Affair,0.9230769230769231,0.0,0.48148148148148145,0.5943957086487317,0.13572407261254715,132
Grindhouse,1.0,0.0,0.5416666666666666,0.14325038984377003,0.08647604876124294,72
Django Unchained,1.0,0.0,0.52,0.1432040271244093,0.0789136146961582,64
The Hateful Eight,1.0,0.0,0.48148148148148145,0.09546033110056927,0.06268728362295314,48
